trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data
trip-153671320807895983,IND121004AAB,IND121102AAA,Carting,2018-09-12 00:46:48.079257,2018-09-12 00:46:48.079257,2018-09-12 01:53:32.471405,45.0,28.0,39.7245,37.85916704310895,training
trip-153671320807895983,IND121102AAA,IND121004AAB,Carting,2018-09-12 00:46:48.079257,2018-09-12 01:53:32.471405,2018-09-12 05:07:14.232558,100.0,29.0,40.2548,38.37233869435721,training
trip-153671321710455800,IND421302AAG,IND000000ACB,FTL,2018-09-12 00:46:57.104787,2018-09-12 00:46:57.104787,2018-09-13 15:45:19.916768,2090.0,968.0,1322.5268999999998,1078.198021769128,training
trip-153671326503717255,IND151001AAA,IND151302AAA,FTL,2018-09-12 00:47:45.037410,2018-09-12 00:47:45.037410,2018-09-12 02:27:30.171591,32.0,39.0,53.8219,26.37598278184221,training
trip-153671326503717255,IND151302AAA,IND151505AAA,FTL,2018-09-12 00:47:45.037410,2018-09-12 02:27:30.171591,2018-09-12 03:15:06.773726,39.0,38.0,43.9908,28.77988648580241,training
trip-153671326503717255,IND151505AAA,IND151506AAA,FTL,2018-09-12 00:47:45.037410,2018-09-12 03:15:06.773726,2018-09-12 04:04:41.742403,46.0,26.0,34.25,16.841741221953615,training
trip-153671326503717255,IND151506AAA,IND151001AAA,FTL,2018-09-12 00:47:45.037410,2018-09-12 04:04:41.742403,2018-09-12 10:04:18.380168,316.0,76.0,83.97630000000001,64.92645579319962,training
trip-153671328307356992,IND110037AAM,IND421302AAG,FTL,2018-09-12 00:48:03.073766,2018-09-12 00:48:03.073766,2018-09-13 15:11:02.805831,1984.0,997.0,1367.6887,1114.0402458906617,training
trip-153671339656068455,IND302014AAA,IND000000ACB,FTL,2018-09-12 00:49:56.561006,2018-09-12 00:49:56.561006,2018-09-12 10:23:11.464298,331.0,165.0,222.3414,195.89332022966053,training
trip-153671343854097865,IND000000ACT,IND160002AAC,FTL,2018-09-12 00:50:38.541226,2018-09-12 05:31:46.865830,2018-09-12 13:55:38.590133,383.0,189.0,226.6377,209.93668522817924,training
trip-153671379462714253,IND411033AAA,IND501359AAE,FTL,2018-09-12 00:56:34.627583,2018-09-12 00:56:34.627583,2018-09-12 17:54:51.423517,790.0,480.0,632.2484000000001,514.7249691880506,training
trip-153671387315368041,IND151001AAA,IND148101AAA,FTL,2018-09-12 00:57:53.153952,2018-09-12 00:57:53.153952,2018-09-12 02:57:41.657332,116.0,62.0,66.039,57.78073882775143,training
trip-153671393133297622,IND421302AAG,IND421401AAC,Carting,2018-09-12 00:58:51.333308,2018-09-12 00:58:51.333308,2018-09-12 02:56:03.005465,75.0,28.0,40.168,34.67986948339483,training
trip-153671398107484965,IND140001AAA,IND140118AAA,FTL,2018-09-12 00:59:41.075273,2018-09-12 04:15:02.191944,2018-09-12 05:44:19.105625,56.0,32.0,37.1305,29.277218984698152,training
