trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data,source_hub,source_degree_centrality,source_betweenness_centrality,source_in_degree,source_out_degree,destination_hub,destination_degree_centrality,destination_betweenness_centrality,destination_in_degree,destination_out_degree,corridor_trip_count,corridor_delay_ratio,trip_hour,trip_dayofweek,trip_month,distance_per_hour,network_risk_score
trip-153671121411074590,IND515004AAA,IND562132AAA,1,2018-09-12 00:13:34.111131,2018-09-12 10:50:14.219080,2018-09-12 19:09:57.540819,339.0,184.0,203.6756,177.51088531016336,training,IND515004AAA,0.0050346129641283,0.0047229219143576,4.0,4.0,IND562132AAA,0.0446821900566394,0.0993643922630439,36.0,35.0,8.0,1.7065217391304348,0,2,9,1.1069326086956521,0.17762726441143517
trip-153671122262300031,IND508223AAA,IND500039AAC,1,2018-09-12 00:13:42.623227,2018-09-12 03:54:04.987871,2018-09-12 08:12:53.012311,243.0,89.0,122.8876,94.03512763394215,training,IND508223AAA,0.0018879798615481,0.0,2.0,1.0,IND500039AAC,0.0056639395846444,0.0019678841309823,5.0,4.0,11.0,1.7752808988764044,0,2,9,1.3807595505617978,0.00349354710893487
trip-153671127071609610,IND585104AAA,IND586128AAA,0,2018-09-12 00:14:30.716368,2018-09-12 00:14:30.716368,2018-09-12 03:21:35.028141,148.0,73.0,92.5224,78.45033418432422,training,IND585104AAA,0.0062932662051604,0.010286523929471,5.0,5.0,IND586128AAA,0.0025173064820641,0.0001961950811994,2.0,2.0,9.0,1.9452054794520548,0,2,9,1.2674301369863015,0.020391042459112284
trip-153671127071609610,IND585314AAA,IND585104AAA,0,2018-09-12 00:14:30.716368,2018-09-12 07:54:13.838441,2018-09-12 15:45:11.190848,172.0,36.0,39.1058,35.08317944906771,training,IND585314AAA,0.0025173064820641,0.0001952141057934,2.0,2.0,IND585104AAA,0.0062932662051604,0.010286523929471,5.0,5.0,9.0,5.216216216216216,0,2,9,1.0862722222222223,0.054675011913676456
trip-153671127071609610,IND586128AAA,IND586211AAA,0,2018-09-12 00:14:30.716368,2018-09-12 03:21:35.028141,2018-09-12 04:48:33.004132,69.0,47.0,47.9389,39.56135733483987,training,IND586128AAA,0.0025173064820641,0.0001961950811994,2.0,2.0,IND586211AAA,0.0025173064820641,1.5743073047858942e-06,2.0,2.0,9.0,1.6170212765957446,0,2,9,1.0199765957446807,0.00031979730907059846
trip-153671127071609610,IND586211AAA,IND585314AAA,0,2018-09-12 00:14:30.716368,2018-09-12 04:48:33.004132,2018-09-12 07:54:13.838441,172.0,97.0,104.8911,77.31899855791985,training,IND586211AAA,0.0025173064820641,1.5743073047858942e-06,2.0,2.0,IND585314AAA,0.0025173064820641,0.0001952141057934,2.0,2.0,9.0,1.8350515463917525,0,2,9,1.0813515463917525,0.00036111688176780507
trip-153671128962918389,IND302014AAB,IND302026AAA,0,2018-09-12 00:14:49.629525,2018-09-12 00:14:49.629525,2018-09-12 02:05:25.351238,86.0,18.0,18.9291,14.20270672685711,training,IND302014AAB,0.0113278791692888,4.7229219143576825e-05,7.0,11.0,IND302026AAA,0.001258653241032,0.0,1.0,1.0,13.0,3.8333333333333335,0,2,9,1.0516166666666666,0.00018104534005037784
trip-153671128962918389,IND302020AAA,IND302014AAB,0,2018-09-12 00:14:49.629525,2018-09-12 04:11:15.177664,2018-09-12 04:51:49.754427,23.0,9.0,11.5589,10.21497674502906,training,IND302020AAA,0.001258653241032,0.0,1.0,1.0,IND302014AAB,0.0113278791692888,4.7229219143576825e-05,7.0,11.0,13.0,2.363636363636364,0,2,9,1.2843222222222221,0.00011163269979390889
trip-153671143043841452,IND211002AAB,IND485001AAC,1,2018-09-12 00:17:10.438683,2018-09-12 00:17:10.438683,2018-09-12 08:51:47.427311,289.0,132.0,184.6407,129.74999590608988,training,IND211002AAB,0.0050346129641283,0.0046833664544384,4.0,4.0,IND485001AAC,0.0044052863436123,0.0027518891687657,2.0,5.0,13.0,2.473684210526316,0,2,9,1.3987931818181818,0.018392474436346985
trip-153671173668736946,IND110043AAA,IND110078AAA,0,2018-09-12 00:22:16.687619,2018-09-12 00:22:16.687619,2018-09-12 01:29:19.277412,44.0,21.0,18.7668,12.756768045055304,training,IND110043AAA,0.0025173064820641,0.0003935768261964,2.0,2.0,IND110078AAA,0.001258653241032,0.0,1.0,1.0,22.0,1.744186046511628,0,2,9,0.8936571428571428,0.000686471208482093
