source_center,destination_center,trip_count,actual_time,osrm_time,delay_ratio
IND571114AAA,IND570020AAA,6,213.0,52.0,4.096153846153846
IND571124AAA,IND570020AAA,8,138.5,30.0,4.616666666666666
IND571213AAA,IND571114AAA,6,106.5,67.0,1.5895522388059702
IND571301AAA,IND571111AAB,6,47.0,23.5,2.0
IND571313AAB,IND571440AAA,7,58.0,46.0,1.2608695652173914
IND571401AAA,IND562160AAB,10,47.0,47.0,1.0
IND571426AAA,IND571104AAA,10,151.0,80.0,1.8875
IND571430AAA,IND571124AAA,7,47.0,34.0,1.3823529411764706
IND571432AAB,IND571426AAA,11,49.0,37.0,1.3243243243243243
IND571438AAB,IND571401AAA,9,40.0,31.0,1.2903225806451613
IND571440AAA,IND571430AAA,7,53.0,50.0,1.06
IND572101AAA,IND561203AAB,8,83.0,42.5,1.9529411764705882
IND572201AAB,IND573201AAB,2,98.5,50.5,1.9504950495049505
IND572201AAB,IND577116AAA,1,97.0,52.0,1.8653846153846154
IND573103AAA,IND572201AAB,2,30.0,17.5,1.7142857142857142
IND573103AAA,IND577116AAA,2,46.0,35.0,1.3142857142857143
IND573116AAA,IND571426AAA,1,162.0,29.0,5.586206896551724
IND573116AAA,IND571432AAB,7,74.0,44.0,1.6818181818181819
IND573116AAA,IND573142AAA,1,126.0,54.0,2.3333333333333335
IND573134AAB,IND573201AAB,8,67.0,32.5,2.0615384615384613
IND573134AAB,IND577101AAA,1,92.0,54.0,1.7037037037037037
IND573142AAA,IND573201AAB,11,71.0,39.0,1.8205128205128205
IND573201AAB,IND572201AAB,4,77.5,50.0,1.55
IND573201AAB,IND573103AAA,3,114.0,40.0,2.85
IND573201AAB,IND573116AAA,9,69.0,30.0,2.3
IND573201AAB,IND573134AAB,3,52.0,32.0,1.625
IND573201AAB,IND575004AAB,14,400.5,125.0,3.204
IND574104AAA,IND574216AAA,10,90.5,46.5,1.946236559139785
IND574117AAA,IND576101AAA,2,36.5,22.0,1.6590909090909092
IND574117AAA,IND576201AAA,1,127.0,42.0,3.0238095238095237
IND574202AAA,IND574239AAA,6,50.0,31.0,1.6129032258064515
IND574211AAA,IND574202AAA,5,47.0,19.0,2.473684210526316
IND574211AAA,IND574216AAA,1,81.0,28.0,2.892857142857143
IND574216AAA,IND562132AAA,1,433.0,220.0,1.9681818181818183
IND574216AAA,IND575004AAB,4,110.5,47.0,2.351063829787234
IND574221AAA,IND562132AAA,6,553.0,215.0,2.572093023255814
IND574227AAA,IND574104AAA,9,25.0,14.0,1.7857142857142858
IND574239AAA,IND574221AAA,7,53.0,35.0,1.5142857142857142
IND575004AAB,IND562132AAA,4,559.5,250.0,2.238
IND575004AAB,IND574117AAA,5,69.0,30.0,2.3
IND575004AAB,IND574211AAA,8,36.0,17.0,2.1176470588235294
IND575004AAB,IND574227AAA,2,63.0,29.5,2.135593220338983
IND575004AAB,IND575014AAA,2,46.5,18.5,2.5135135135135136
IND575004AAB,IND576101AAA,1,104.0,50.0,2.08
IND575004AAB,IND671323AAD,3,47.0,26.0,1.8076923076923077
IND575014AAA,IND403726AAA,1,513.0,293.0,1.7508532423208192
IND576101AAA,IND576201AAA,3,47.0,30.0,1.5666666666666667
IND576201AAA,IND581320AAA,4,74.5,36.5,2.041095890410959
IND577002AAA,IND580028AAA,11,163.0,101.0,1.613861386138614
IND577002AAA,IND581110AAE,1,126.0,52.0,2.423076923076923
IND577002AAA,IND581115AAC,12,85.5,29.5,2.8983050847457625
IND577101AAA,IND577116AAA,1,51.0,46.0,1.108695652173913
IND577101AAA,IND577132AAD,5,45.0,21.0,2.142857142857143
