hub,degree_centrality,betweenness_centrality,in_degree,out_degree
IND313324AAA,0.0012586532410320957,0.0031989924433249366,1,1
IND311301AAA,0.0006293266205160479,0.0,0,1
IND312001AAA,0.0025173064820641915,0.004376574307304786,2,2
IND312601AAA,0.0012586532410320957,0.0007847803247977925,1,1
IND312403AAA,0.0012586532410320957,0.003208438287153652,1,1
IND458664AAA,0.0012586532410320957,0.0036020151133501262,1,1
IND312605AAB,0.0025173064820641915,0.003992443324937028,2,2
IND458001AAB,0.0012586532410320957,0.00039042821158690176,1,1
IND327001AAB,0.0012586532410320957,0.0011712846347607052,1,1
IND321001AAA,0.0025173064820641915,0.0,2,2
IND321401AAB,0.0012586532410320957,0.0,2,0
IND321408AAB,0.0006293266205160479,0.0,0,1
IND322201AAA,0.0018879798615481437,0.0,1,2
IND322241AAA,0.0012586532410320957,0.0,1,1
IND331022A1B,0.0006293266205160479,0.0,0,1
IND331001A1C,0.0006293266205160479,0.0,1,0
IND331304AAA,0.0006293266205160479,0.0,0,1
IND331507AAA,0.0006293266205160479,0.0,0,1
IND331701AAA,0.0012586532410320957,0.0,1,1
IND333001AAA,0.0012586532410320957,0.0,1,1
IND333028AAA,0.0018879798615481437,0.00039357682619647357,2,1
IND333031AAA,0.0018879798615481437,0.00039672544080604537,2,1
IND333042AAA,0.0012586532410320957,0.0,1,1
IND334001AAB,0.0012586532410320957,0.00019678841309823678,1,1
IND334001AAC,0.0018879798615481437,0.0049448992443324935,1,2
IND332713AAA,0.0018879798615481437,0.0,1,2
IND332709AAA,0.0006293266205160479,0.0,1,0
IND332715AAB,0.0006293266205160479,0.0,1,0
IND333502AAA,0.0006293266205160479,0.0,1,0
IND331023AAA,0.0006293266205160479,0.0,1,0
IND333504AAA,0.0006293266205160479,0.0,0,1
IND334803AAA,0.0018879798615481437,0.0,2,1
IND341001AAC,0.0025173064820641915,0.004354534005037784,2,2
IND335001AAA,0.0012586532410320957,0.0067789672544080574,1,1
IND335051AAA,0.0012586532410320957,0.006410579345088159,1,1
